"","Place_ID","unique_id","title","authors","pub_year","journal","study_site","moisture_type_DELETE.","moisture_type_consistent","moisture_units","moisture_open","moisture_forest","measurement_depth_DELETE.","Depth_lowerRange","Depth_upperRange","Average_Depth","Depth_Units","mat_deg_c","map_mm","Lat_degrees","Lat_Minutes","Lat_Seconds","Direction","Lat_Coordinates","Long_degrees","Long_Minutes","Long_Seconds","Direction.1","Long_Coordinates","moisture_open_proportion","moisture_forest_proportion"
"11",11,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",15.1662,6.537434,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.151662,0.06537434
"12",12,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",15.91785,7.557008,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1591785,0.07557008
"13",13,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",16.7681,8.548976,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.167681,0.08548976
"14",14,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",17.60987,9.548002,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1760987,0.09548002
"15",15,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",17.57543,10.14661,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1757543,0.1014661
"16",16,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",17.27178,10.53234,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1727178,0.1053234
"17",17,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",17.02662,10.93609,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1702662,0.1093609
"18",18,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",16.76146,11.34242,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1676146,0.1134242
"19",19,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",16.51628,11.75631,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1651628,0.1175631
"20",20,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",16.22757,12.17112,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1622757,0.1217112
"21",21,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",16.06188,12.45342,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1606188,0.1245342
"22",22,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",15.98177,12.74422,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1598177,0.1274422
"23",23,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",15.85619,13.03803,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1585619,0.1303803
"24",24,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",15.75348,13.32176,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1575348,0.1332176
"25",25,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",15.64691,13.53276,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1564691,0.1353276
"26",26,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",15.97809,12.3774,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1597809,0.123774
"27",27,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",16.33089,11.23717,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1633089,0.1123717
"28",28,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",16.67643,10.07402,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1667643,0.1007402
"29",29,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",17.02331,8.915209,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1702331,0.08915209
"30",30,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",16.65937,8.536786,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1665937,0.08536786
"31",31,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",16.23483,8.330254,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1623483,0.08330254
"32",32,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",15.77441,8.120209,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1577441,0.08120209
"33",33,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",15.37461,7.876333,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1537461,0.07876333
"34",34,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",15.71602,8.296203,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1571602,0.08296203
"35",35,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",16.30196,8.936689,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1630196,0.08936689
"36",36,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",16.90348,9.607699,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1690348,0.09607699
"37",37,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",17.47533,10.27659,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1747533,0.1027659
"38",38,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",18.11369,10.91471,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1811369,0.1091471
"39",39,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",18.67824,11.58658,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1867824,0.1158658
"40",40,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",19.24926,12.24171,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1924926,0.1224171
"41",41,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",19.84051,12.8934,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1984051,0.128934
"42",42,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",20.40358,13.54501,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.2040358,0.1354501
"43",43,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",20.97991,14.21939,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.2097991,0.1421939
"44",44,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",20.62463,14.99494,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.2062463,0.1499494
"45",45,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",20.30899,15.76787,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.2030899,0.1576787
"46",46,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",19.919,16.54397,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.19919,0.1654397
"47",47,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",19.95956,16.51372,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1995956,0.1651372
"48",48,4,"Intra-annual variability and environmental controls over transpiration in a 58-year-old even-aged stand of invasive woody Juniperus virginiana L. in the Nebraska Sandhills, USA","Awada, T.; El-Hage, R.; Geha, M.; Wedin, D.A.; Huddle, J.A.; Zhou, X.; Msanne, J.; Sudmeyer, R.A.; Martin, D.L.; Brandle, J.R.",2013,"Ecohydrology","Nebraska NAtional Forest","Volumetric soil water content","VSWC","%",19.95568,16.33401,"0-2 m","0",2,1,"m",8.4,570,41,51,45,"N",41.8625,100,22,6,"W",-100.368,0.1995568,0.1633401
"49",49,5,"Effect of vegetation change from forest to herbaceous vegetation cover on soil moisture and temperature regimes and soil water chemistry","Ã–zkan, U.; GÃ¶kbulak, F.",2016,"Catena","Belgrad Forest","Volumetric Soil Moisture","VSWC","%",52.69464256,28.82896684,"40","40",NA,40,"cm",12.3,1129,NA,NA,NA,"N",41.184,NA,NA,NA,"E",28.9885,0.5269464256,0.2882896684
"50",50,5,"Effect of vegetation change from forest to herbaceous vegetation cover on soil moisture and temperature regimes and soil water chemistry","Ã–zkan, U.; GÃ¶kbulak, F.",2016,"Catena","Belgrad Forest","Volumetric Soil Moisture","VSWC","%",40.60345934,27.22514031,"40","40",NA,40,"cm",12.3,1129,NA,NA,NA,"N",41.184,NA,NA,NA,"E",28.9885,0.4060345934,0.2722514031
